"id","code","name","hs_level","created_at","updated_at"
1311,"8403","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
1312,"0814","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
1313,"2514","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
1314,"6912","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
1315,"2901","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
1316,"8542","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
1317,"8435","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
1318,"8516","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
1319,"4808","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
1320,"9101","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
1321,"290517","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1322,"4968","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1323,"560314","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1324,"251749","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1325,"251720","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1326,"848610","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1327,"391220","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1328,"401011","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1329,"854610","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1330,"851890","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1331,"910519","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1332,"294000","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1333,"442120","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1334,"850520","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1335,"040620","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1336,"510720","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1337,"441911","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1338,"283919","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1339,"400400","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1340,"282710","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1341,"845891","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1342,"210230","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1343,"820730","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1344,"5040","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1345,"721491","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1346,"850133","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1347,"5050","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1348,"520643","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1349,"840734","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1350,"030381","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1351,"852560","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1352,"4700","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1353,"520100","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1354,"392490","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1355,"700729","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1356,"160300","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1357,"640312","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1358,"5184","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1359,"310420","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1360,"390490","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1361,"170199","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1362,"842519","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
1363,"4774","H6",6,"2025-03-18 03:30:54.543430","2025-03-18 03:30:54.543430"
